qID,orcid,doi,pmc,pmid,dnb,eid
Q61449719,0000-0003-4861-0636,10.3987/COM-14-S(K)73,,,,
Q60656124,0000-0003-4861-0636,10.1039/C6RA14435G,,,,
Q57858467,0000-0003-4861-0636,10.1039/C7GC00571G,,,,
Q56744730,0000-0003-4861-0636,10.1039/C8GC01171K,,,,
Q59442984,0000-0003-2390-7636,10.1088/1367-2630/15/2/025043,,,,
Q62575937,0000-0003-2390-7636,10.1038/NPHYS3411,,,,
Q62599501,0000-0003-2390-7636,10.1038/NPHYS4121,,,,
Q62599520,0000-0003-2390-7636,10.1080/09500340802411997,,,,
Q62599510,0000-0003-2390-7636,10.1088/2040-8978/18/1/014007,,,,
Q59442991,0000-0003-2390-7636,10.1088/1367-2630/15/4/045017,,,,
Q51610103,0000-0002-2638-1636,10.1364/OE.19.001158,,,,
Q80059012,0000-0002-2638-1636,10.1364/OL.32.000512,,,,
Q84072524,0000-0002-2638-1636,10.1364/OE.14.011248,,,,
Q79875022,0000-0002-2638-1636,10.1364/OL.31.002338,,,,
Q50665910,0000-0002-2638-1636,10.1364/OL.23.000921,,,,
Q47588879,0000-0002-2638-1636,10.1364/OE.16.010465,,,,
Q80210810,0000-0002-2638-1636,10.1364/OL.23.000343,,,,
Q83993967,0000-0002-2638-1636,10.1364/OPEX.13.004314,,,,
Q69128457,0000-0002-8292-2636,10.3847/0004-637X/832/2/141,,,,
Q68187456,0000-0002-8292-2636,10.3847/2041-8205/826/1/L10,,,,
Q68744152,0000-0002-8292-2636,10.1051/0004-6361/201732265,,,,
Q69170933,0000-0002-8292-2636,10.3847/2041-8213/AA697F,,,,
Q69059055,0000-0002-8292-2636,10.1088/2041-8205/778/1/L6,,,,
Q68943709,0000-0002-8292-2636,10.3847/1538-4357/AACEAB,,,,
