author_qID,orcid,name,affiliation,affiliation_id,affiliation_id_source,start_date_year
,0000-0002-4807-379X,"('Esha', 'Kundu')","('Curtin University', '1649', 'RINGGOLD', '2019')",nan,nan,nan,nan
,0000-0002-8182-679X,"('Alla', None)","('Pavlo Tychyna Uman State Pedagogical University', '416526', 'RINGGOLD', '1971')",nan,nan,nan,nan
,0000-0002-1792-079X,"('Cilene', 'Canda')","('Universidade Federal da Bahia', '28111', 'RINGGOLD', '2015')",nan,nan,nan,nan
Q88912396,0000-0003-0554-179X,"('Shinya', 'Ariyasu')","('Nagoya University', 'http://dx.doi.org/10.13039/501100004823', 'FUNDREF', '2016')",nan,nan,nan,nan
,0000-0002-0552-479X,"('Lisa', 'Collibee')","('Sanborn Regional School District', '225692', 'RINGGOLD', '2006')",nan,nan,nan,nan
,0000-0002-7425-579X,"('Konrad', 'Turkowski')","('University of Warmia and Mazury in Olsztyn', 'grid.412607.6', 'GRID', '2017')",nan,nan,nan,nan
,0000-0003-2131-479X,"('Rita', 'Ormenese')","('Instituto de Tecnologia de Alimentos', '218464', 'RINGGOLD', '1994')",nan,nan,nan,nan
Q59302556,0000-0001-7500-379X,"('Beng Huat', 'See')","('Durham University', '3057', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0002-7488-879X,"('Germán Ricardo', 'Santos Granados')","('Escuela Colombiana de Ingeniería Julio Garavito', '83533', 'RINGGOLD', '1979')",nan,nan,nan,nan
,0000-0002-8049-579X,"('Preetham Kumar', 'G V')","('National Institute of Technology Karnataka', '119680', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0001-7656-779X,"('Susanne', 'Urban')","('Uppsala Universitet', '8097', 'RINGGOLD', '2014')",nan,nan,nan,nan
Q92733675,0000-0002-5913-579X,"('Yu', 'Wang')","('University of New South Wales - Randwick Campus', '146817', 'RINGGOLD', '2006')",nan,nan,nan,nan
Q59262853,0000-0003-2283-579X,"('Cuiling', 'Li')","('Beijing Institute of Technology', '47833', 'RINGGOLD', '2019')",nan,nan,nan,nan
,0000-0002-7573-379X,"('Hillary', 'Chakava')","('Egerton University', '107852', 'RINGGOLD', '2014')",nan,nan,nan,nan
Q92034866,0000-0001-5559-879X,"('Quais', 'Hassan')","('Ohio State University College of Medicine', '12305', 'RINGGOLD', '2017')",nan,nan,nan,nan
,0000-0001-8645-879X,"('Yingfei', 'Gu')","('Harvard University', '1812', 'RINGGOLD', '2017')",nan,nan,nan,nan
,0000-0002-0051-279X,"('Dzvenislava', 'Hrushkovska')","('Danylo Halytsky Lviv National Medical University', 'grid.411517.7', 'GRID', '1999')",nan,nan,nan,nan
,0000-0003-2861-279X,"('Ajis', 'Lepit')","('Universiti Teknologi MARA - Cawangan Sabah Kampus', '54704', 'RINGGOLD', '2019')",nan,nan,nan,nan
Q61182785,0000-0002-8218-379X,"('Simone Tostes de Oliveira', 'Stedile')","('Universidade Federal do Paraná', '28122', 'RINGGOLD', '2011')",nan,nan,nan,nan
,0000-0002-1108-679X,"('Sandra', 'Sulsky')","('Ramboll US Corporation', '425934', 'RINGGOLD', '2014')",nan,nan,nan,nan
,0000-0002-7181-279X,"('Naghmeh', 'Zamani')","('Shahid Beheshti University', '48512', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0002-6954-479X,"('Jose Eduardo', 'Soto')","('Yale University', '5755', 'RINGGOLD', '2017')",nan,nan,nan,nan
,0000-0002-0622-879X,"('Christopher', 'Bennett')","('World Bank Group', 'http://dx.doi.org/10.13039/100004421', 'FUNDREF', '2003')",nan,nan,nan,nan
Q91560394,0000-0003-1758-579X,"('Bettina', 'Purgstaller')","('Technische Universität Graz', '27253', 'RINGGOLD', '2013')",nan,nan,nan,nan
Q89699875,0000-0001-7906-379X,"('CARLOS A', 'BANA E COSTA')","('Universidade Técnica de Lisboa Instituto Superior Técnico', '72971', 'RINGGOLD', '1980')",nan,nan,nan,nan
,0000-0001-7058-779X,"('ALOK', 'SAHU')","('Central Institute of Plastics Engineering and Technology', '233597', 'RINGGOLD', '1992')",nan,nan,nan,nan
,0000-0002-4687-979X,"('Jean-Paul', 'RENNER')","('Université Versailles Saint-Quentin-en-Yvelines', '27096', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0002-6952-879X,"('chengathirselvi', None)","('Kamaraj College of Engineering and Technology', '213285', 'RINGGOLD', '2009')",nan,nan,nan,nan
,0000-0002-1374-379X,"('Fabíola', 'Ortiz dos Santos')","('Universität Duisburg-Essen', '27170', 'RINGGOLD', '2018')",nan,nan,nan,nan
,0000-0001-9386-979X,"('Adriana', 'Miranda Pimentel')","('Universidade Federal da Bahia', '28111', 'RINGGOLD', '2010')",nan,nan,nan,nan
,0000-0002-9240-279X,"('Oksana', 'Kikinezhdi')","('Ternopil Volodymyr Hnatyuk National Pedagogical University', 'grid.446029.d', 'GRID', '2013')",nan,nan,nan,nan
Q59151132,0000-0003-1808-679X,"('Marek', 'Radkowski')","('Medical University of Warsaw', 'grid.13339.3b', 'GRID', '1986')",nan,nan,nan,nan
,0000-0002-7472-279X,"('Burak', 'Sisman')","('Istanbul Üniversitesi', 'http://dx.doi.org/10.13039/501100002657', 'FUNDREF', '2006')",nan,nan,nan,nan
,0000-0001-8021-679X,"('Svitlana', 'Bobruk')","('Vinnitsa National Medical University named after M.I.Pirogov', 'grid.446037.2', 'GRID', '2007')",nan,nan,nan,nan
,0000-0003-0631-779X,"('Pâmela Juliana', 'Furlan-Murari')","('Universidade Estadual de Londrina', '37894', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0001-9853-979X,"('Gabriel', 'Dorantes-Argandar')","('Universidad Autónoma del Estado de Morelos', '27783', 'RINGGOLD', '2011')",nan,nan,nan,nan
,0000-0002-5542-579X,"('Елена', 'Постыльная')","('Melitopol State Pedagogical University', 'grid.445878.2', 'GRID', '1992')",nan,nan,nan,nan
,0000-0002-4350-479X,"('Ilvania', 'Gutiérrez-Gotera')","('Universidad de Los Andes', '33179', 'RINGGOLD', '1993')",nan,nan,nan,nan
