orcid,pmid,doi,qID
0000-0003-4898-3942,nan,10.1016/S0924-9338(13)76565-9,Q59191608
0000-0003-4898-3942,nan,10.1016/S0924-9338(13)76302-8,Q59191594
0000-0001-6695-2942,nan,10.2340/00015555-1482,Q48342626
0000-0001-6695-2942,nan,10.5604/17322693.1038785,Q42265297
0000-0001-6695-2942,nan,10.7448/IAS.20.1.21847,Q38675771
0000-0001-6695-2942,nan,10.5604/17322693.1186343,Q26775680
0000-0001-5187-3942,nan,10.1523/ENEURO.0034-17.2017,Q30357412
0000-0001-5187-3942,nan,10.14670/HH-11-894,Q47757989
0000-0001-8724-3942,22380681,10.1186/1741-7007-10-16,Q34180434
0000-0001-8724-3942,15866923,10.1128/JB.187.10.3384-3390.2005,Q30988742
0000-0001-8724-3942,24237754,10.1111/1567-1364.12125,Q44394752
0000-0001-8724-3942,24164772,10.1111/1567-1364.12112,Q38155948
0000-0001-8724-3942,20530968,10.1159/000315458,Q33597585
0000-0001-8724-3942,19258708,10.1159/000206635,Q43481032
0000-0001-8724-3942,23435897,10.1128/AEM.03207-12,Q39761768
0000-0001-8724-3942,16415592,10.1159/000089647,Q36369661
0000-0001-8724-3942,24382301,10.1111/1567-1364.12130,Q61783414
0000-0001-8724-3942,24973076,10.1128/AEM.00712-14,Q42798241
0000-0001-8724-3942,17824842,10.1042/BA20070132,Q50917177
0000-0001-8724-3942,11879732,10.1016/S0300-9084(01)01346-3,Q61783420
0000-0001-8724-3942,15741737,10.1159/000082077,Q45292484
0000-0003-2724-2942,nan,10.1039/C7SC01599B,Q47325287
0000-0003-2232-9942,nan,10.1088/1742-6596/17/1/022,Q57860832
0000-0003-2232-9942,nan,10.1130/G37856.1,Q58041224
0000-0003-2232-9942,nan,10.1080/08927020500501599,Q57619025
0000-0003-2232-9942,nan,10.1134/S0869591107050013,Q57618997
0000-0003-2232-9942,nan,10.1038/26718,Q59087563
0000-0003-2232-9942,nan,10.1016/S0304-3991(03)00118-9,Q73691502
0000-0003-2232-9942,nan,10.1016/0925-9635(94)90117-1,Q60513262
0000-0003-2232-9942,nan,10.1130/G33339.1,Q58083116
0000-0003-2232-9942,nan,10.1180/0026461036760158,Q57869540
0000-0003-2232-9942,nan,10.1180/0026461046810174,Q57619069
0000-0003-2232-9942,nan,10.1127/0935-1221/2013/0025-2261,Q56332640
0000-0003-2232-9942,nan,10.1130/G45632.1,Q60920622
0000-0003-2232-9942,nan,10.1007/BF00372282,Q56453814
0000-0001-6574-9942,24670004,10.1186/1472-6831-14-26,Q35131794
0000-0001-6574-9942,nan,10.1155/2013/249591,Q36723052
0000-0001-6574-9942,23046660,10.1186/1471-2458-12-855,Q34436857
0000-0001-6574-9942,25415367,10.3109/00016357.2014.976261,Q50610683
0000-0001-6574-9942,18408391,10.1159/000117796,Q48349195
0000-0001-6574-9942,20639664,10.1159/000316379,Q39855717
0000-0001-6574-9942,25012119,10.1186/1472-6831-14-86,Q33939735
0000-0001-5473-2942,nan,10.1007/BF00328429,Q38922748
0000-0001-5473-2942,nan,10.1590/S0044-59672011000400002,Q55763106
0000-0001-5473-2942,nan,10.3159/TORREY-D-12-00035.1,Q93531953
0000-0001-5473-2942,nan,10.1590/0001-3765201820180460,Q67231660
0000-0001-5473-2942,nan,10.1590/2175-7860201869402,Q92428233
0000-0001-5929-3942,nan,10.1007/978-3-319-59129-2_18,Q59427913
0000-0001-5929-3942,nan,10.1109/TGRS.2017.2767205,Q59427890
0000-0002-7941-2942,nan,10.1177/0002764207307742,Q59700188
0000-0002-7941-2942,nan,10.1177/1538192714540530,Q59700200
0000-0002-7941-2942,nan,10.1080/09518398.2016.1214296,Q59700192
0000-0002-9497-0942,nan,10.1037/0012-1649.41.4.661,Q50960627
0000-0002-9497-0942,nan,10.3758/LB.38.2.126,Q39881929
0000-0002-9497-0942,nan,10.1037/0096-3445.132.1.23,Q73171406
0000-0002-9497-0942,nan,10.1080/138255890969375,Q58257716
0000-0002-9497-0942,nan,10.3758/BRM.41.3.675,Q33479882
0000-0002-9497-0942,nan,10.1348/000712608X366867,Q33386380
0000-0002-9497-0942,nan,10.1177/0956797610396225,Q33870178
0000-0002-9497-0942,nan,10.3758/BRM.40.4.1170,Q82567244
0000-0002-7049-3942,nan,10.1177/0306312715599850,Q38383851
0000-0002-7049-3942,nan,10.1177/0963662514558167,Q51771498
0000-0002-7049-3942,nan,10.1111/1467-9566.12542,Q40319234
0000-0002-7049-3942,nan,10.1111/1467-9566.12866,Q91174053
0000-0003-3477-6942,nan,10.1128/JB.187.20.7018-7026.2005,Q42082540
0000-0003-3477-6942,nan,10.1128/AEM.02820-16,Q36243506
0000-0002-6743-8942,nan,10.23736/S0392-9590.17.03761-0,Q47449236
0000-0003-2058-5942,nan,10.1007/978-1-4939-1743-3_11,Q35306545
0000-0003-2058-5942,nan,10.1097/MIB.0000000000000017,Q54217018
0000-0003-2058-5942,nan,10.1107/S1744309107006069,Q42001382
0000-0003-2058-5942,nan,10.1107/S0907444912034464,Q27682350
0000-0003-2058-5942,nan,10.1107/S1744309105007815,Q42001883
0000-0003-2058-5942,nan,10.1007/5584_2016_25,Q39678067
0000-0003-2058-5942,nan,10.1128/IAI.01759-14,Q39550426
0000-0003-2058-5942,nan,10.1097/TP.0000000000000166,Q42201561
0000-0003-2058-5942,nan,10.1107/S1744309110028721,Q42000477
0000-0003-2058-5942,nan,10.1186/1471-2164-15-699,Q34157198
0000-0003-2058-5942,nan,10.1128/AAC.02091-17,Q50134098
0000-0003-2058-5942,nan,10.1128/JVI.02619-09,Q33826682
0000-0003-2058-5942,nan,10.1107/S1744309106016861,Q41821641
0000-0003-2058-5942,nan,10.1128/JVI.00432-17,Q38707906
0000-0003-2058-5942,nan,10.1097/SHK.0000000000001098,Q48553068
0000-0003-2058-5942,nan,10.1107/S2053230X15005890,Q40854363
0000-0003-2058-5942,nan,10.1186/1757-4749-5-1,Q36616677
0000-0003-2058-5942,nan,10.1107/S0907444909017314,Q27656618
0000-0003-2058-5942,nan,10.1128/IAI.00683-18,Q57462996
0000-0003-2058-5942,nan,10.2147/BTT.S50870,Q30355629
0000-0003-2058-5942,nan,10.1042/BJ20102063,Q27931106
0000-0003-2058-5942,nan,10.1007/5584_2016_42,Q40616341
0000-0003-2058-5942,nan,10.1107/S1744309105007761,Q41910004
0000-0003-0256-3942,nan,10.1177/1403494819850429,Q92496466
0000-0001-8496-6942,nan,10.1016/S0045-7949(98)00271-5,Q59312532
0000-0001-8496-6942,nan,10.1016/S0020-7683(02)00615-7,Q59312530
0000-0001-8496-6942,nan,10.1016/S0168-874X(02)00159-2,Q59312529
0000-0002-4323-3942,nan,10.1109/TMAG.2005.855340,Q57762369
0000-0002-4323-3942,nan,10.1063/1.1984090,Q57762395
0000-0002-4323-3942,nan,10.1063/1.1759380,Q61802842
0000-0002-4323-3942,nan,10.1063/1.1759380,Q61802842
0000-0002-4323-3942,nan,10.1109/INTMAG.2006.375831,Q62022040
0000-0002-4323-3942,nan,10.1109/NSSMIC.2012.6551631,Q62807982
0000-0002-4323-3942,nan,10.1063/1.1984090,Q57762395
0000-0002-4323-3942,nan,10.1016/S0956-5663(02)00205-1,Q44327038
0000-0002-4323-3942,nan,10.1109/TMAG.2005.855340,Q57762369
0000-0002-4323-3942,nan,10.1016/S0956-5663(02)00205-1,Q44327038
0000-0002-4323-3942,nan,10.1063/1.2162342,Q58646586
