orcid_origin,pmid,doi,article_qnr,all_authors_qnr
0000-0003-4898-3942,nan,10.1016/S0924-9338(13)76565-9,Q59191608,"['Q57844921', 'Q64657781', 'Q64657911', 'Q64657909']"
0000-0003-4898-3942,nan,10.1016/S0924-9338(13)76302-8,Q59191594,"['Q57844921', 'Q64657781', 'Q64657909']"
0000-0001-6695-2942,nan,10.2340/00015555-1482,Q48342626,"['Q58301889', 'Q64681817']"
0000-0001-6695-2942,nan,10.5604/17322693.1038785,Q42265297,"['Q58301889', 'Q59151132', 'Q79297446']"
0000-0001-6695-2942,nan,10.7448/IAS.20.1.21847,Q38675771,"['Q56804764', 'Q58301889', 'Q59662161', 'Q88535954']"
0000-0001-6695-2942,nan,10.5604/17322693.1186343,Q26775680,['Q58301889']
0000-0001-5187-3942,nan,10.1523/ENEURO.0034-17.2017,Q30357412,"['Q43111252', 'Q47259882', 'Q55715072', 'Q56125901', 'Q57317390', 'Q79421737', 'Q87981398', 'Q87981401']"
0000-0001-5187-3942,nan,10.14670/HH-11-894,Q47757989,"['Q47259882', 'Q82695193']"
0000-0001-8724-3942,22380681.0,10.1186/1741-7007-10-16,Q34180434,"['Q16733372', 'Q42798270']"
0000-0001-8724-3942,15866923.0,10.1128/JB.187.10.3384-3390.2005,Q30988742,"['Q42798270', 'Q43055649', 'Q56810780']"
0000-0001-8724-3942,24237754.0,10.1111/1567-1364.12125,Q44394752,"['Q16733372', 'Q42798270']"
0000-0001-8724-3942,24164772.0,10.1111/1567-1364.12112,Q38155948,"['Q39187314', 'Q42798270']"
0000-0001-8724-3942,20530968.0,10.1159/000315458,Q33597585,"['Q42798270', 'Q43055649', 'Q43055657', 'Q64764410']"
0000-0001-8724-3942,19258708.0,10.1159/000206635,Q43481032,"['Q37828665', 'Q41111247', 'Q42798270', 'Q43055649', 'Q53203014', 'Q64495393']"
0000-0001-8724-3942,23435897.0,10.1128/AEM.03207-12,Q39761768,"['Q16733372', 'Q42798270']"
0000-0001-8724-3942,16415592.0,10.1159/000089647,Q36369661,"['Q42798270', 'Q43055649']"
0000-0001-8724-3942,24382301.0,10.1111/1567-1364.12130,Q61783414,"['Q42798270', 'Q58328046']"
0000-0001-8724-3942,24973076.0,10.1128/AEM.00712-14,Q42798241,"['Q16733372', 'Q42663308', 'Q42798270', 'Q57298292']"
0000-0001-8724-3942,17824842.0,10.1042/BA20070132,Q50917177,"['Q30506227', 'Q42798270', 'Q43055657', 'Q64764410']"
0000-0001-8724-3942,11879732.0,10.1016/S0300-9084(01)01346-3,Q61783420,
0000-0001-8724-3942,15741737.0,10.1159/000082077,Q45292484,"['Q42798270', 'Q43055649', 'Q64495393']"
0000-0003-2724-2942,nan,10.1039/C7SC01599B,Q47325287,"['Q42719216', 'Q45944184', 'Q47262336', 'Q88539691']"
0000-0003-2232-9942,nan,10.1088/1742-6596/17/1/022,Q57860832,"['Q1394382', 'Q56991138', 'Q57069743']"
0000-0003-2232-9942,nan,10.1130/G37856.1,Q58041224,
0000-0003-2232-9942,nan,10.1080/08927020500501599,Q57619025,"['Q56572650', 'Q57069743']"
0000-0003-2232-9942,nan,10.1134/S0869591107050013,Q57618997,['Q57069743']
0000-0003-2232-9942,nan,10.1038/26718,Q59087563,
0000-0003-2232-9942,nan,10.1016/S0304-3991(03)00118-9,Q73691502,['Q57069743']
0000-0003-2232-9942,nan,10.1016/0925-9635(94)90117-1,Q60513262,['Q57069743']
0000-0003-2232-9942,nan,10.1130/G33339.1,Q58083116,
0000-0003-2232-9942,nan,10.1180/0026461036760158,Q57869540,"['Q57069743', 'Q57849863']"
0000-0003-2232-9942,nan,10.1180/0026461046810174,Q57619069,"['Q57069743', 'Q57716918']"
0000-0003-2232-9942,nan,10.1127/0935-1221/2013/0025-2261,Q56332640,"['Q42290054', 'Q57069743']"
0000-0003-2232-9942,nan,10.1130/G45632.1,Q60920622,
0000-0003-2232-9942,nan,10.1007/BF00372282,Q56453814,
0000-0001-6574-9942,24670004.0,10.1186/1472-6831-14-26,Q35131794,"['Q42851093', 'Q57015025', 'Q59961704']"
0000-0001-6574-9942,nan,10.1155/2013/249591,Q36723052,"['Q42851093', 'Q56754350']"
0000-0001-6574-9942,23046660.0,10.1186/1471-2458-12-855,Q34436857,"['Q42851093', 'Q57015025']"
0000-0001-6574-9942,25415367.0,10.3109/00016357.2014.976261,Q50610683,['Q42851093']
