orcid_origin,pmid,pmc,doi,wosuid,eid,dnb,article_qnr,all_authors_qnr
0000-0003-2760-1191,27899851.0,PMC5126442,nan,nan,nan,nan,Q37448620,"['Q83234445', 'Q37448620']"
0000-0003-2760-1191,27899851.0,PMC5126442,nan,nan,nan,nan,Q37448620,['Q83234445']
0000-0002-4050-6191,29146482.0,nan,10.1016/j.rec.2017.10.005,nan,nan,nan,Q47176306,
0000-0001-7526-5191,21033872.0,nan,10.1063/1.3475729,nan,nan,nan,Q82227134,"['Q57037275', 'Q82227128']"
0000-0001-7526-5191,19044531.0,nan,10.1063/1.2973326,nan,nan,nan,Q82778227,"['Q57037275', 'Q82227128']"
0000-0001-7526-5191,19044531.0,nan,10.1063/1.2973326,nan,nan,nan,Q82778227,"['Q57037275', 'Q82227128']"
0000-0002-7871-5191,28338018.0,PMC5364489,10.1038/srep45089,nan,nan,nan,Q42129196,"['Q57212955', 'Q59701610', 'Q87372245']"
0000-0002-7871-5191,28338018.0,PMC5364489,10.1038/srep45089,nan,nan,nan,Q42129196,"['Q57212955', 'Q59701610', 'Q87372245']"
0000-0002-7871-5191,27485329.0,nan,10.1007/978-1-4939-3637-3_4,nan,nan,nan,Q36093243,['Q87372245']
0000-0002-7468-2871,17367707.0,nan,10.1016/j.numecd.2005.11.010,nan,nan,nan,Q57337053,"['Q30742679', 'Q43098285', 'Q43124540', 'Q67540956', 'Q72697009']"
0000-0002-7468-2871,24479820.0,PMC4000122,10.1111/jcmm.12221,nan,nan,nan,Q37724036,"['Q42319116', 'Q55542660', 'Q57340281']"
0000-0002-7468-2871,24479820.0,PMC4000122,10.1111/jcmm.12221,nan,nan,nan,Q37724036,"['Q42319116', 'Q55542660', 'Q57340281']"
0000-0002-7468-2871,23258814.0,nan,10.1093/ndt/gfs426,nan,nan,nan,Q27013965,
0000-0002-7468-2871,12189450.0,nan,10.1007/s00125-002-0884-8,nan,nan,nan,Q44110196,"['Q43098285', 'Q43124540', 'Q67540956', 'Q72697009']"
0000-0002-7468-2871,17356049.0,nan,10.1210/jc.2006-1802,nan,nan,nan,Q42170225,"['Q30742679', 'Q52356845', 'Q58681901']"
0000-0002-7468-2871,25814248.0,nan,10.1016/j.ejphar.2015.03.026,nan,nan,nan,Q38392816,"['Q42881464', 'Q52356845', 'Q56855135', 'Q63413139']"
0000-0002-7468-2871,20709744.0,nan,10.1093/ndt/gfq493,nan,nan,nan,Q42937270,"['Q52356845', 'Q55542660', 'Q56855135']"
0000-0002-7468-2871,12663276.0,nan,nan,nan,nan,nan,Q73188038,
0000-0002-7468-2871,17440528.0,nan,10.1038/sj.ejcn.1602731,nan,nan,nan,Q59237376,"['Q38543979', 'Q43098285', 'Q43124540', 'Q53467738', 'Q57839254', 'Q59220937', 'Q67540956', 'Q72697009']"
0000-0002-7468-2871,25980470.0,nan,10.1007/s00467-015-3119-1,nan,nan,nan,Q38484336,"['Q63707323', 'Q85945704']"
0000-0002-7468-2871,15531693.0,nan,nan,nan,nan,nan,Q80975161,['Q59220937']
0000-0002-7468-2871,17981571.0,nan,10.2741/2703,nan,nan,nan,Q36991865,"['Q52356845', 'Q55542660', 'Q56855135', 'Q59685737', 'Q63413139']"
0000-0002-7468-2871,21130992.0,nan,10.1016/j.atherosclerosis.2010.11.009,nan,nan,nan,Q57446117,"['Q47915474', 'Q55542660', 'Q57244186']"
0000-0002-7468-2871,26730742.0,PMC4701403,10.1371/journal.pone.0145946,nan,nan,nan,Q27333455,"['Q40380938', 'Q59205786', 'Q67700614', 'Q70157106']"
0000-0002-7468-2871,26730742.0,PMC4701403,10.1371/journal.pone.0145946,nan,nan,nan,Q27333455,"['Q40380938', 'Q59205786', 'Q67700614', 'Q70157106']"
0000-0002-7468-2871,24594990.0,PMC3942443,10.1371/journal.pone.0090541,nan,nan,nan,Q31152445,"['Q52356845', 'Q55542660', 'Q58681901', 'Q59162107']"
0000-0002-7468-2871,24594990.0,PMC3942443,10.1371/journal.pone.0090541,nan,nan,nan,Q31152445,"['Q52356845', 'Q55542660', 'Q58681901', 'Q59162107']"
0000-0002-7468-2871,20651166.0,nan,10.1681/asn.2010020218,nan,nan,nan,Q37774798,"['Q42881464', 'Q52356845', 'Q56855135', 'Q63413139']"
0000-0002-7468-2871,16386743.0,nan,10.1016/j.atherosclerosis.2005.11.029,nan,nan,nan,Q46874175,"['Q43098285', 'Q43124540', 'Q56433460', 'Q59220937', 'Q67540956', 'Q72697009']"
