orcid,given_name,family_name,affiliation_name,affiliation_adress,affiliation_year,affiliation_month,affiliation_day
0000-0002-7479-2595,Meiricris,Tomaz da Silva,University of Sao Paulo,,2015,01,01
0000-0002-6888-6595,Sayed Alireza,Hosseinzadeh Hejazi,Amirkabir University of Technology,,2019,05,22
0000-0002-0010-1595,Seh Hong,Lim,University of Sao Paulo,,2015,01,01
0000-0002-0192-1595,Nokwanda,Hadebe,University of Sao Paulo,,2015,01,01
0000-0003-3522-5595,Wang,Zhongmin,University of Sao Paulo,,2015,01,01
0000-0002-2327-4595,Nadin,Karabut,University of Sao Paulo,,2015,01,01
0000-0002-9076-8595,Thavamanithevi,Subramaniam,Institut Piawaian dan Penyelidikan Perindustrian Malaysia,,1980,04,02
0000-0002-7548-8595,Mpondo,Mbotho,Institut Piawaian dan Penyelidikan Perindustrian Malaysia,,1980,04,02
0000-0002-1245-2595,hyorim,suh,Institut Piawaian dan Penyelidikan Perindustrian Malaysia,,1980,04,02
0000-0001-8213-4595,Camilo Alberto,Gonzalez Gonzalez,Institut Piawaian dan Penyelidikan Perindustrian Malaysia,,1980,04,02
0000-0001-8406-8595,David,Pfeiffer,Institut Piawaian dan Penyelidikan Perindustrian Malaysia,,1980,04,02
0000-0002-4396-1595,Ge,Feng,Institut Piawaian dan Penyelidikan Perindustrian Malaysia,,1980,04,02
0000-0002-4396-1595,Ge,Feng,Institut Piawaian dan Penyelidikan Perindustrian Malaysia,,1980,04,02
0000-0003-4962-7595,Gisela,Barcat,Institut Piawaian dan Penyelidikan Perindustrian Malaysia,,1980,04,02
0000-0001-6846-3595,Dong-Ho,Gwak,Institut Piawaian dan Penyelidikan Perindustrian Malaysia,,1980,04,02
0000-0001-5551-5595,Eric,Josselin,Institut Piawaian dan Penyelidikan Perindustrian Malaysia,,1980,04,02
0000-0002-0539-1595,Hadis,Nejadmoghadam,"Islamic Azad University , Karaj",,2015,07,01
0000-0002-8237-0595,CARLOS MANUEL,RECUAY CONDOR,"Islamic Azad University , Karaj",,2015,07,01
0000-0001-7773-0595,Chimezie,Festus,"Islamic Azad University , Karaj",,2015,07,01
0000-0002-1894-2595,Fereshteh,Narenji,Arak University of Medical Sciences,,1999,03,03
0000-0002-5633-2595,tushar,vaidya,Università degli Studi di Cassino,,2006,02,01
0000-0003-0604-5595,Matthew,Chua,Università degli Studi di Cassino,,2006,02,01
0000-0003-3171-8595,Giacomo,Certini,Università degli Studi di Cassino,,2006,02,01
0000-0003-4818-1595,maureen,walsh,Università degli Studi di Cassino,,2006,02,01
